# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.2,0.51,0.7,0.7
-3.2,0.46,0.7,0.7
-3.2,0.41,0.7,0.7
-3.2,0.36,0.7,0.7
-3.2,0.31,0.7,0.7
-3.2,0.26,0.7,0.7
-3.2,0.21,0.7,0.7
-3.2,0.16,0.7,0.7
-3.2,0.11,0.7,0.7
-3.2,0.06,0.7,0.7
-3.2,0.01,0.7,0.7
-3.2,-0.04,0.7,0.7
-3.2,-0.09,0.7,0.7
-3.2,-0.14,0.7,0.7
-3.2,-0.19,0.7,0.7
-3.2,-0.24,0.7,0.7
-3.2,-0.29,0.7,0.7
-3.2,-0.34,0.7,0.7
-3.2,-0.39,0.7,0.7
-3.2,-0.44,0.7,0.7
-3.2,-0.49,0.7,0.7
-3.2,-0.54,0.7,0.7
-3.2,-0.59,0.7,0.7
-3.2,-0.64,0.7,0.7
-3.2,-0.69,0.7,0.7
-3.2,-0.74,0.7,0.7
-3.2,-0.79,0.7,0.7
-3.2,-0.84,0.7,0.7
-3.2,-0.89,0.7,0.7
-3.2,-0.94,0.7,0.7
-3.2,-0.99,0.7,0.7
-3.2,-1.04,0.7,0.7
-3.2,-1.09,0.7,0.7
-3.2,-1.14,0.7,0.7
-3.2,-1.19,0.7,0.7
-3.2,-1.24,0.7,0.7
-3.2,-1.29,0.7,0.7
-3.2,-1.34,0.7,0.7
-3.2,-1.39,0.7,0.7
-3.2,-1.44,0.7,0.7
-3.2,-1.49,0.7,0.7
-3.2,-1.54,0.7,0.7
-3.2,-1.59,0.7,0.7
